name,id,region_id
Тарутинський районний суд Одеської області,472,15
Татарбунарський районний суд Одеської області,473,15
Теплодарський міський суд Одеської області,474,15
Фрунзівський районний суд Одеської області,475,15
Ширяївський районний суд Одеської області,476,15
Южний міський суд Одеської області,477,15
Автозаводський районний суд м.Кременчука,478,16
Апеляційний суд Полтавської області,479,16
Великобагачанський районний суд Полтавської області,480,16
Гадяцький районний суд Полтавської області,481,16
Глобинський районний суд Полтавської області,482,16
Господарський суд Полтавської області,483,16
Гребінківський районний суд Полтавської області,484,16
Диканський районний суд Полтавської області,485,16
Зіньківський районний суд Полтавської області,486,16
Карлівський районний суд Полтавської області,487,16
Київський районний суд м. Полтави,488,16
Кобеляцький районний суд Полтавської області,489,16
Козельщинський районний суд Полтавської області,490,16
Комсомольський міський суд Полтавської області,491,16
Котелевський районний суд Полтавської області,492,16
Кременчуцький районний суд Полтавської області,493,16
Крюківський районний суд м.Кременчука,494,16
Ленінський районний суд м.Полтави,495,16
Лохвицький районний суд Полтавської області,496,16
Лубенський міськрайонний суд Полтавської області,497,16
Машівський районний суд Полтавської області,498,16
Миргородський міськрайонний суд Полтавської області,499,16
Новосанжарський районний суд Полтавської області,500,16
Октябрський районний суд м.Полтави,501,16
Оржицький районний суд Полтавської області,502,16
Пирятинський районний суд Полтавської області,503,16
Полтавський окружний адміністративний суд,504,16
Полтавський районний суд Полтавської області,505,16
Решетилівський районний суд Полтавської області,506,16
Семенівський районний суд Полтавської області,507,16
Хорольський районний суд Полтавської області,508,16
Чорнухинський районний суд Полтавської області,509,16
Чутівський районний суд Полтавської області,510,16
Шишацький районний суд Полтавської області,511,16
Апеляційний суд Рівненської області,512,17
Березнівський районний суд Рівненської області,513,17
Володимирецький районний суд Рівненської області,514,17
Господарський суд Рівненської області,515,17
Гощанський районний суд Рівненської області,516,17
Демидівський районний суд Рівненської області,517,17
Дубенський міськрайонний суд Рівненської області,518,17
Дубровицький районний суд Рівненської області,519,17
Зарічненський районний суд Рівненської області,520,17
Здолбунівський районний суд Рівненської області,521,17
Корецький районний суд Рівненської області,522,17
Костопільський районний суд Рівненської області,523,17
Кузнецовський міський суд Рівненської області,524,17
Млинівський районний суд Рівненської області,525,17
Острозький районний суд Рівненської області,526,17
Радивилівський районний суд Рівненської області,527,17
Рівненський апеляційний господарський суд,528,17
Рівненський міський суд Рівненської області,529,17
Рівненський окружний адміністративний суд,530,17
Рівненський районний суд Рівненської області,531,17
Рокитнівський районний суд Рівненської області,532,17
Сарненський районний суд Рівненської області,533,17
Апеляційний суд Сумської області,534,18
Білопільський районний суд Сумської області,535,18
Буринський районний суд Сумської області,536,18
Великописарівський районний суд Сумської області,537,18
Глухівський міськрайонний суд Сумської області,538,18
Господарський суд Сумської області,539,18
Зарічний районний суд м.Сум,540,18
Ковпаківський районний суд м.Сум,541,18
Конотопський міськрайонний суд Сумської області,542,18
Краснопільський районний суд Сумської області,543,18
Кролевецький районний суд Сумської області,544,18
Лебединський районний суд Сумської області,545,18
Липоводолинський районний суд Сумської області,546,18
Недригайлівський районний суд Сумської області,547,18
Охтирський міськрайонний суд Сумської області,548,18
Путивльський районний суд Сумської області,549,18
Роменський міськрайонний суд Сумської області,550,18
Середино-Будський районний суд Сумської області,551,18
Сумський окружний адміністративний суд,552,18
Сумський районний суд Сумської області,553,18
Тростянецький районний суд Сумської області,554,18
Шосткинський міськрайонний суд Сумської області,555,18
Ямпільський районний суд Сумської області,556,18
Апеляційний суд Тернопільської області,557,19
Бережанський районний суд Тернопільської області,558,19
Борщівський районний суд Тернопільської області,559,19
Бучацький районний суд Тернопільської області,560,19
Господарський суд Тернопільської області,561,19
Гусятинський районний суд Тернопільської області,562,19
Заліщицький районний суд Тернопільської області,563,19
Збаразький районний суд Тернопільської області,564,19
Зборівський районний суд Тернопільської області,565,19
Козівський районний суд Тернопільської області,566,19
Кременецький районний суд Тернопільської області,567,19
Лановецький районний суд Тернопільської області,568,19
Монастириський районний суд Тернопільської області,569,19
Підволочиський районний суд Тернопільської області,570,19
Підгаєцький районний суд Тернопільської області,571,19
Теребовлянський районний суд Тернопільської області,572,19
Тернопільський міськрайонний суд Тернопільської області,573,19
Тернопільський окружний адміністративний суд,574,19
Чортківський районний суд Тернопільської області,575,19
Шумський районний суд Тернопільської області,576,19
Апеляційний суд Харківської області,577,20
Балаклійський районний суд Харківської області,578,20
Барвінківський районний суд Харківської області,579,20
Близнюківський районний суд Харківської області,580,20
Богодухівський районний суд Харківської області,581,20
Борівський районний суд Харківської області,582,20
Валківський районний суд Харківської області,583,20
Великобурлуцький районний суд Харківської області,584,20
Вовчанський районний суд Харківської області,585,20
Господарський суд Харківської області,586,20
Дворічанський районний суд Харківської області,587,20
Дергачівський районний суд Харківської області,588,20
Дзержинський районний суд м.Харкова,589,20
Жовтневий районний суд м.Харкова,590,20
Зачепилівський районний суд Харківської області,591,20
Зміївський районний суд Харківської області,592,20
Золочівський районний суд Харківської області,593,20
Ізюмський міськрайонний суд Харківської області,594,20
Кегичівський районний суд Харківської області,595,20
Київський районний суд м.Харкова,596,20
Коломацький районний суд Харківської області,597,20
Комінтернівський районний суд м.Харкова,598,20
Красноградський районний суд Харківської області,599,20
Краснокутський районний суд Харківської області,600,20
Куп'янський міськрайонний суд Харківської області,601,20
Ленінський районний суд м.Харкова,602,20
Лозівський міськрайонний суд Харківської області,603,20
Люботинський міський суд Харківської області,604,20
Московський районний суд м.Харкова,605,20
Нововодолазький районний суд Харківської області,606,20
Орджонікідзевський районний суд м.Харкова,607,20
Первомайський міськрайонний суд Харківської області,608,20
Печенізький районний суд Харківської області,609,20
Сахновщинський районний суд Харківської області,610,20
Фрунзенський районний суд м.Харкова,611,20
Харківський апеляційний адміністративний суд,612,20
Харківський апеляційний господарський суд,613,20
Харківський окружний адміністративний суд,614,20
Харківський районний суд Харківської області,615,20
Червонозаводський районний суд м.Харкова,616,20
Чугуївський міський суд Харківської області,617,20
Шевченківський районний суд Харківської області,618,20
Апеляційний суд Херсонської області,619,21
Бериславський районний суд Херсонської області,620,21
Білозерський районний суд Херсонської області,621,21
Великолепетиський районний суд Херсонської області,622,21
Великоолександрівський районний суд Херсонської області,623,21
Верхньорогачицький районний суд Херсонської області,624,21
Високопільський районний суд Херсонської області,625,21
Генічеський районний суд Херсонської області,626,21
Голопристанський районний суд Херсонської області,627,21
Горностаївський районний суд Херсонської області,628,21
Господарський суд Херсонської області,629,21
Дніпровський районний суд м.Херсона,630,21
Іванівський районний суд Херсонської області,631,21
Каланчацький районний суд Херсонської області,632,21
Каховський міськрайонний суд Херсонської області,633,21
Комсомольський районний суд м.Херсона,634,21
Нижньосірогозький районний суд Херсонської області,635,21
Нововоронцовський районний суд Херсонської області,636,21
Новокаховський міський суд Херсонської області,637,21
Новотроїцький районний суд Херсонської області,638,21
Скадовський районний суд Херсонської області,639,21
Суворовський районний суд м.Херсона,640,21
Херсонський міський суд Херсонської області,641,21
Херсонський окружний адміністративний суд,642,21
Цюрупинський районний суд Херсонської області,643,21
Чаплинський районний суд Херсонської області,644,21
Апеляційний суд Хмельницької області,645,22
Білогірський районний суд Хмельницької області,646,22
Віньковецький районний суд Хмельницької області,647,22
Волочиський районний суд Хмельницької області,648,22
Городоцький районний суд Хмельницької області,649,22
Господарський суд Хмельницької області,650,22
Деражнянський районний суд Хмельницької області,651,22
Дунаєвецький районний суд Хмельницької області,652,22
Ізяславський районний суд Хмельницької області,653,22
Кам'янець-Подільський міськрайонний суд Хмельницької області,654,22
Красилівський районний суд Хмельницької області,655,22
Летичівський районний суд Хмельницької області,656,22
Нетішинський міський суд Хмельницької області,657,22
Новоушицький районний суд Хмельницької області,658,22
Полонський районний суд Хмельницької області,659,22
Славутський міськрайонний суд Хмельницької області,660,22
